word,token_count,char_count,avg_byte_length,tokens_per_char,chars_per_token
ali,1,3,3.0,0.3333333333333333,3.0
alias,1,5,5.0,0.2,5.0
alice,1,5,5.0,0.2,5.0
alien,1,5,5.0,0.2,5.0
align,1,5,5.0,0.2,5.0
alignment,1,9,9.0,0.1111111111111111,9.0
alike,2,5,2.5,0.4,2.5
alive,1,5,5.0,0.2,5.0
all,1,3,3.0,0.3333333333333333,3.0
allah,1,5,5.0,0.2,5.0
allan,1,5,5.0,0.2,5.0
alleged,3,7,2.3333333333333335,0.42857142857142855,2.3333333333333335
allen,1,5,5.0,0.2,5.0
allergy,2,7,3.5,0.2857142857142857,3.5
alliance,2,8,4.0,0.25,4.0
allied,2,6,3.0,0.3333333333333333,3.0
allocated,1,9,9.0,0.1111111111111111,9.0
allocation,1,10,10.0,0.1,10.0
allow,1,5,5.0,0.2,5.0
allowance,2,9,4.5,0.2222222222222222,4.5
allowed,1,7,7.0,0.14285714285714285,7.0
allowing,2,8,4.0,0.25,4.0
allows,1,6,6.0,0.16666666666666666,6.0
alloy,2,5,2.5,0.4,2.5
almost,1,6,6.0,0.16666666666666666,6.0
alone,1,5,5.0,0.2,5.0
along,1,5,5.0,0.2,5.0
alot,2,4,2.0,0.5,2.0
alpha,1,5,5.0,0.2,5.0
alphabetical,2,12,6.0,0.16666666666666666,6.0
alpine,2,6,3.0,0.3333333333333333,3.0
already,1,7,7.0,0.14285714285714285,7.0
also,1,4,4.0,0.25,4.0
alt,1,3,3.0,0.3333333333333333,3.0
alter,1,5,5.0,0.2,5.0
altered,2,7,3.5,0.2857142857142857,3.5
alternate,1,9,9.0,0.1111111111111111,9.0
alternative,1,11,11.0,0.09090909090909091,11.0
alternatively,2,13,6.5,0.15384615384615385,6.5
alternatives,2,12,6.0,0.16666666666666666,6.0
although,1,8,8.0,0.125,8.0
alto,1,4,4.0,0.25,4.0
aluminium,2,9,4.5,0.2222222222222222,4.5
aluminum,2,8,4.0,0.25,4.0
alumni,2,6,3.0,0.3333333333333333,3.0
always,1,6,6.0,0.16666666666666666,6.0
am,1,2,2.0,0.5,2.0
amanda,2,6,3.0,0.3333333333333333,3.0
amateur,2,7,3.5,0.2857142857142857,3.5
amazing,2,7,3.5,0.2857142857142857,3.5
amazon,1,6,6.0,0.16666666666666666,6.0
amazoncom,2,9,4.5,0.2222222222222222,4.5
amazoncouk,3,10,3.3333333333333335,0.3,3.3333333333333335
ambassador,2,10,5.0,0.2,5.0
amber,1,5,5.0,0.2,5.0
ambien,2,6,3.0,0.3333333333333333,3.0
ambient,1,7,7.0,0.14285714285714285,7.0
amd,1,3,3.0,0.3333333333333333,3.0
amend,2,5,2.5,0.4,2.5
amended,2,7,3.5,0.2857142857142857,3.5
amendment,3,9,3.0,0.3333333333333333,3.0
amendments,3,10,3.3333333333333335,0.3,3.3333333333333335
amenities,2,9,4.5,0.2222222222222222,4.5
america,1,7,7.0,0.14285714285714285,7.0
american,1,8,8.0,0.125,8.0
americans,2,9,4.5,0.2222222222222222,4.5
americas,2,8,4.0,0.25,4.0
amino,2,5,2.5,0.4,2.5
among,1,5,5.0,0.2,5.0
amongst,2,7,3.5,0.2857142857142857,3.5
amount,1,6,6.0,0.16666666666666666,6.0
amounts,2,7,3.5,0.2857142857142857,3.5
amp,1,3,3.0,0.3333333333333333,3.0
ampland,2,7,3.5,0.2857142857142857,3.5
amplifier,3,9,3.0,0.3333333333333333,3.0
amsterdam,2,9,4.5,0.2222222222222222,4.5
amy,1,3,3.0,0.3333333333333333,3.0
an,1,2,2.0,0.5,2.0
ana,1,3,3.0,0.3333333333333333,3.0
anaheim,2,7,3.5,0.2857142857142857,3.5
anal,1,4,4.0,0.25,4.0
analog,1,6,6.0,0.16666666666666666,6.0
analyses,2,8,4.0,0.25,4.0
analysis,1,8,8.0,0.125,8.0
analyst,2,7,3.5,0.2857142857142857,3.5
analysts,2,8,4.0,0.25,4.0
analytical,2,10,5.0,0.2,5.0
analyze,2,7,3.5,0.2857142857142857,3.5
analyzed,2,8,4.0,0.25,4.0
anatomy,3,7,2.3333333333333335,0.42857142857142855,2.3333333333333335
anchor,1,6,6.0,0.16666666666666666,6.0
ancient,2,7,3.5,0.2857142857142857,3.5
and,1,3,3.0,0.3333333333333333,3.0
andale,2,6,3.0,0.3333333333333333,3.0
anderson,2,8,4.0,0.25,4.0
andorra,2,7,3.5,0.2857142857142857,3.5
andrea,2,6,3.0,0.3333333333333333,3.0
andreas,2,7,3.5,0.2857142857142857,3.5
andrew,2,6,3.0,0.3333333333333333,3.0
andrews,2,7,3.5,0.2857142857142857,3.5
andy,1,4,4.0,0.25,4.0
angel,1,5,5.0,0.2,5.0
angela,2,6,3.0,0.3333333333333333,3.0
angeles,2,7,3.5,0.2857142857142857,3.5
angels,2,6,3.0,0.3333333333333333,3.0
anger,1,5,5.0,0.2,5.0
angle,1,5,5.0,0.2,5.0
angola,2,6,3.0,0.3333333333333333,3.0
angry,2,5,2.5,0.4,2.5
animal,1,6,6.0,0.16666666666666666,6.0
animals,1,7,7.0,0.14285714285714285,7.0
animated,1,8,8.0,0.125,8.0
animation,1,9,9.0,0.1111111111111111,9.0
anime,1,5,5.0,0.2,5.0
ann,1,3,3.0,0.3333333333333333,3.0
anna,1,4,4.0,0.25,4.0
anne,1,4,4.0,0.25,4.0
annex,2,5,2.5,0.4,2.5
annie,1,5,5.0,0.2,5.0
anniversary,2,11,5.5,0.18181818181818182,5.5
annotated,2,9,4.5,0.2222222222222222,4.5
annotation,1,10,10.0,0.1,10.0
announce,1,8,8.0,0.125,8.0
announced,2,9,4.5,0.2222222222222222,4.5
announcement,1,12,12.0,0.08333333333333333,12.0
announcements,2,13,6.5,0.15384615384615385,6.5
announces,2,9,4.5,0.2222222222222222,4.5
annoying,3,8,2.6666666666666665,0.375,2.6666666666666665
annual,1,6,6.0,0.16666666666666666,6.0
annually,2,8,4.0,0.25,4.0
anonymous,1,9,9.0,0.1111111111111111,9.0
another,1,7,7.0,0.14285714285714285,7.0
answer,1,6,6.0,0.16666666666666666,6.0
answered,1,8,8.0,0.125,8.0
answering,2,9,4.5,0.2222222222222222,4.5
answers,1,7,7.0,0.14285714285714285,7.0
ant,1,3,3.0,0.3333333333333333,3.0
antarctica,2,10,5.0,0.2,5.0
antenna,2,7,3.5,0.2857142857142857,3.5
anthony,2,7,3.5,0.2857142857142857,3.5
anthropology,3,12,4.0,0.25,4.0
anti,1,4,4.0,0.25,4.0
antibodies,3,10,3.3333333333333335,0.3,3.3333333333333335
antibody,2,8,4.0,0.25,4.0
anticipated,1,11,11.0,0.09090909090909091,11.0
antigua,2,7,3.5,0.2857142857142857,3.5
antique,2,7,3.5,0.2857142857142857,3.5
antiques,2,8,4.0,0.25,4.0
antivirus,2,9,4.5,0.2222222222222222,4.5
antonio,2,7,3.5,0.2857142857142857,3.5
anxiety,2,7,3.5,0.2857142857142857,3.5
any,1,3,3.0,0.3333333333333333,3.0
anybody,2,7,3.5,0.2857142857142857,3.5
anymore,2,7,3.5,0.2857142857142857,3.5
anyone,2,6,3.0,0.3333333333333333,3.0
anything,1,8,8.0,0.125,8.0
anytime,2,7,3.5,0.2857142857142857,3.5
anyway,2,6,3.0,0.3333333333333333,3.0
anywhere,2,8,4.0,0.25,4.0
aol,2,3,1.5,0.6666666666666666,1.5
ap,1,2,2.0,0.5,2.0
apache,1,6,6.0,0.16666666666666666,6.0
apart,1,5,5.0,0.2,5.0
apartment,2,9,4.5,0.2222222222222222,4.5
apartments,2,10,5.0,0.2,5.0
api,1,3,3.0,0.3333333333333333,3.0
apnic,2,5,2.5,0.4,2.5
apollo,1,6,6.0,0.16666666666666666,6.0
app,1,3,3.0,0.3333333333333333,3.0
apparatus,2,9,4.5,0.2222222222222222,4.5
apparel,2,7,3.5,0.2857142857142857,3.5
apparent,2,8,4.0,0.25,4.0
apparently,2,10,5.0,0.2,5.0
appeal,2,6,3.0,0.3333333333333333,3.0
appeals,2,7,3.5,0.2857142857142857,3.5
appear,1,6,6.0,0.16666666666666666,6.0
appearance,1,10,10.0,0.1,10.0
appeared,2,8,4.0,0.25,4.0
appearing,2,9,4.5,0.2222222222222222,4.5
appears,2,7,3.5,0.2857142857142857,3.5
appendix,2,8,4.0,0.25,4.0
apple,1,5,5.0,0.2,5.0
appliance,2,9,4.5,0.2222222222222222,4.5
appliances,2,10,5.0,0.2,5.0
applicable,2,10,5.0,0.2,5.0
applicant,2,9,4.5,0.2222222222222222,4.5
applicants,3,10,3.3333333333333335,0.3,3.3333333333333335
application,1,11,11.0,0.09090909090909091,11.0
applications,1,12,12.0,0.08333333333333333,12.0
applied,2,7,3.5,0.2857142857142857,3.5
applies,2,7,3.5,0.2857142857142857,3.5
apply,1,5,5.0,0.2,5.0
applying,2,8,4.0,0.25,4.0
appointed,1,9,9.0,0.1111111111111111,9.0
appointment,1,11,11.0,0.09090909090909091,11.0
appointments,1,12,12.0,0.08333333333333333,12.0
appraisal,2,9,4.5,0.2222222222222222,4.5
appreciate,3,10,3.3333333333333335,0.3,3.3333333333333335
appreciated,3,11,3.6666666666666665,0.2727272727272727,3.6666666666666665
appreciation,3,12,4.0,0.25,4.0
approach,2,8,4.0,0.25,4.0
approaches,2,10,5.0,0.2,5.0
appropriate,1,11,11.0,0.09090909090909091,11.0
appropriations,3,14,4.666666666666667,0.21428571428571427,4.666666666666667
approval,1,8,8.0,0.125,8.0
approve,1,7,7.0,0.14285714285714285,7.0
approved,1,8,8.0,0.125,8.0
approx,1,6,6.0,0.16666666666666666,6.0
approximate,2,11,5.5,0.18181818181818182,5.5
approximately,1,13,13.0,0.07692307692307693,13.0
apps,1,4,4.0,0.25,4.0
apr,1,3,3.0,0.3333333333333333,3.0
april,2,5,2.5,0.4,2.5
apt,1,3,3.0,0.3333333333333333,3.0
aqua,2,4,2.0,0.5,2.0
aquarium,2,8,4.0,0.25,4.0
aquatic,2,7,3.5,0.2857142857142857,3.5
ar,1,2,2.0,0.5,2.0
arab,1,4,4.0,0.25,4.0
arabia,2,6,3.0,0.3333333333333333,3.0
arabic,2,6,3.0,0.3333333333333333,3.0
arbitrary,2,9,4.5,0.2222222222222222,4.5
arbitration,3,11,3.6666666666666665,0.2727272727272727,3.6666666666666665
arc,1,3,3.0,0.3333333333333333,3.0
arcade,2,6,3.0,0.3333333333333333,3.0
arch,1,4,4.0,0.25,4.0
architect,1,9,9.0,0.1111111111111111,9.0
architects,2,10,5.0,0.2,5.0
architectural,2,13,6.5,0.15384615384615385,6.5
architecture,1,12,12.0,0.08333333333333333,12.0
archive,1,7,7.0,0.14285714285714285,7.0
archived,2,8,4.0,0.25,4.0
archives,1,8,8.0,0.125,8.0
arctic,2,6,3.0,0.3333333333333333,3.0
are,1,3,3.0,0.3333333333333333,3.0
area,1,4,4.0,0.25,4.0
areas,1,5,5.0,0.2,5.0
arena,1,5,5.0,0.2,5.0
arg,1,3,3.0,0.3333333333333333,3.0
argentina,2,9,4.5,0.2222222222222222,4.5
argue,2,5,2.5,0.4,2.5
argued,2,6,3.0,0.3333333333333333,3.0
argument,1,8,8.0,0.125,8.0
arguments,1,9,9.0,0.1111111111111111,9.0
arise,2,5,2.5,0.4,2.5
arising,2,7,3.5,0.2857142857142857,3.5
arizona,2,7,3.5,0.2857142857142857,3.5
arkansas,2,8,4.0,0.25,4.0
arlington,2,9,4.5,0.2222222222222222,4.5
arm,1,3,3.0,0.3333333333333333,3.0
armed,1,5,5.0,0.2,5.0
armenia,2,7,3.5,0.2857142857142857,3.5
armor,1,5,5.0,0.2,5.0
arms,1,4,4.0,0.25,4.0
armstrong,2,9,4.5,0.2222222222222222,4.5
army,1,4,4.0,0.25,4.0
arnold,2,6,3.0,0.3333333333333333,3.0
around,1,6,6.0,0.16666666666666666,6.0
arrange,2,7,3.5,0.2857142857142857,3.5
arranged,2,8,4.0,0.25,4.0
arrangement,2,11,5.5,0.18181818181818182,5.5
arrangements,2,12,6.0,0.16666666666666666,6.0
array,1,5,5.0,0.2,5.0
arrest,2,6,3.0,0.3333333333333333,3.0
arrested,3,8,2.6666666666666665,0.375,2.6666666666666665
arrival,1,7,7.0,0.14285714285714285,7.0
arrivals,2,8,4.0,0.25,4.0
arrive,2,6,3.0,0.3333333333333333,3.0
arrived,2,7,3.5,0.2857142857142857,3.5
arrives,2,7,3.5,0.2857142857142857,3.5
arrow,1,5,5.0,0.2,5.0
art,1,3,3.0,0.3333333333333333,3.0
arthritis,1,9,9.0,0.1111111111111111,9.0
arthur,2,6,3.0,0.3333333333333333,3.0
article,1,7,7.0,0.14285714285714285,7.0
articles,1,8,8.0,0.125,8.0
artificial,2,10,5.0,0.2,5.0
artist,1,6,6.0,0.16666666666666666,6.0
artistic,2,8,4.0,0.25,4.0
artists,1,7,7.0,0.14285714285714285,7.0
arts,1,4,4.0,0.25,4.0
artwork,2,7,3.5,0.2857142857142857,3.5
aruba,2,5,2.5,0.4,2.5
as,1,2,2.0,0.5,2.0
asbestos,2,8,4.0,0.25,4.0
ascii,1,5,5.0,0.2,5.0
ash,1,3,3.0,0.3333333333333333,3.0
ashley,2,6,3.0,0.3333333333333333,3.0
asia,1,4,4.0,0.25,4.0
asian,1,5,5.0,0.2,5.0
aside,1,5,5.0,0.2,5.0
asin,1,4,4.0,0.25,4.0
ask,1,3,3.0,0.3333333333333333,3.0
asked,1,5,5.0,0.2,5.0
asking,1,6,6.0,0.16666666666666666,6.0
asks,1,4,4.0,0.25,4.0
asn,1,3,3.0,0.3333333333333333,3.0
asp,1,3,3.0,0.3333333333333333,3.0
aspect,1,6,6.0,0.16666666666666666,6.0
aspects,2,7,3.5,0.2857142857142857,3.5
aspnet,2,6,3.0,0.3333333333333333,3.0
ass,1,3,3.0,0.3333333333333333,3.0
assault,2,7,3.5,0.2857142857142857,3.5
assembled,1,9,9.0,0.1111111111111111,9.0
assembly,1,8,8.0,0.125,8.0
assess,2,6,3.0,0.3333333333333333,3.0
assessed,2,8,4.0,0.25,4.0
assessing,2,9,4.5,0.2222222222222222,4.5
assessment,1,10,10.0,0.1,10.0
assessments,3,11,3.6666666666666665,0.2727272727272727,3.6666666666666665
asset,1,5,5.0,0.2,5.0
assets,1,6,6.0,0.16666666666666666,6.0
assign,1,6,6.0,0.16666666666666666,6.0
assigned,1,8,8.0,0.125,8.0
assignment,1,10,10.0,0.1,10.0
assignments,2,11,5.5,0.18181818181818182,5.5
assist,1,6,6.0,0.16666666666666666,6.0
assistance,2,10,5.0,0.2,5.0
assistant,1,9,9.0,0.1111111111111111,9.0
assisted,2,8,4.0,0.25,4.0
assists,2,7,3.5,0.2857142857142857,3.5
associate,1,9,9.0,0.1111111111111111,9.0
associated,1,10,10.0,0.1,10.0
associates,3,10,3.3333333333333335,0.3,3.3333333333333335
association,1,11,11.0,0.09090909090909091,11.0
associations,2,12,6.0,0.16666666666666666,6.0
assume,2,6,3.0,0.3333333333333333,3.0
assumed,2,7,3.5,0.2857142857142857,3.5
assumes,2,7,3.5,0.2857142857142857,3.5
assuming,1,8,8.0,0.125,8.0
assumption,2,10,5.0,0.2,5.0
